,Клас 0 (class_0),Клас 1 (class_1),Клас 2 (class_2),Mean_Abs
od280/od315_of_diluted_wines,5.318492468484067,-231.14569513171728,343.61292622357746,193.35903794125957
log_od280,2.5788197198629206,140.27605459517218,-215.74346479615195,119.53277970372902
proline,121.6135784793462,-145.42281306380917,69.24193744052357,112.09277632789299
log_proline,-92.83195800052764,120.8367699880023,-67.74934004177258,93.80602267676751
od280/od315_of_diluted_wines_squared,-5.423861059270315,92.15324186754722,-132.88738757416044,76.82149683365932
proline_squared,-50.92206145576958,59.62484646672502,-27.07387283786981,45.87359358678813
alcohol_x_flavanoids,35.97851933775278,6.35679629791437,-54.332094174048095,32.22246993657175
alcohol_squared,-35.72503034830967,38.1543192028077,-13.42393078362701,29.101093444914795
alcohol_proline_ratio,-25.33843685777578,34.70771645732123,-21.106360960522977,27.05083809187333
flavanoids_squared,-12.784132397253217,-18.301019256914934,43.61213306464038,24.89909490626951
color_intensity,-2.977401475080365,-20.68882032298523,35.04589323113819,19.570705009734592
alcohol,19.043448865465834,-23.486397629032886,11.925408423259007,18.151751639252577
alcohol_zscore,19.043448865464967,-23.486397629031085,11.925408423257363,18.15175163925114
phenols_x_flavanoids,-1.1966294098320098,13.265646447774754,-18.612742926837196,11.025006261481321
color_intensity_squared,0.23274745483741022,11.042824004092752,-17.020722601605254,9.432098020178472
flavanoids,-11.829367147994422,10.422794513405513,-1.0950203818940933,7.782394014431343
total_phenols,-0.5342480039872237,-7.325190117497431,11.762535576919667,6.5406578994681075
color_x_hue,0.681902590115051,5.751110666056109,-9.561016348409805,5.331343201526988
alcalinity_of_ash,-3.7548041254521944,1.7588449821313459,2.0001430314234163,2.5045973796689855
hue,-1.0630630481497108,-2.0250108594665064,4.388973574165573,2.49234916059393
nonflavanoid_phenols,0.9629788321907375,1.9799856106105487,-4.196406443949942,2.3797902955837427
phenols_ratio,0.5862450885523973,2.0125485287358855,-3.777681062649787,2.125491559979357
ash,0.8883156727286058,-1.623959493800127,1.3568797608525367,1.2897183091270898
ash_zscore,0.8883156727285854,-1.6239594938000264,1.3568797608524097,1.289718309127007
proanthocyanins,-1.4320360447519231,-0.22913552695135364,2.126371338860506,1.262514303521261
malic_acid_zscore,0.13413795980749105,-0.6583546488348027,0.8308507905949426,0.5411144664124121
malic_acid,0.13413795980701465,-0.6583546488336949,0.8308507905938559,0.5411144664115218
magnesium,-0.11574211681092306,0.4315026223687261,-0.5099910402784402,0.35241192648602976
