Feature Extractor,Classifier,Accuracy,F1-Score,Train Time (s)
InceptionV3,SVM (RBF),0.533,0.535776221927901,10.918500423431396
InceptionV3,Gradient Boosting,0.524,0.5226787580595796,792.4155213832855
VGG16,SVM (RBF),0.5215,0.5224951722475355,3.1263880729675293
InceptionV3,MLP,0.5115,0.5104617860104109,6.89409065246582
VGG19,SVM (RBF),0.4985,0.49924540828587843,2.900860071182251
VGG16,Gradient Boosting,0.4975,0.49639403649430835,235.30754017829895
VGG16,MLP,0.4845,0.48438055527994683,2.5577569007873535
InceptionV3,Logistic Regression,0.482,0.482501737227526,2.413264513015747
InceptionV3,Random Forest,0.4795,0.47367837812784264,0.7468762397766113
VGG19,MLP,0.478,0.47759328658860933,2.5675387382507324
VGG16,Random Forest,0.471,0.4696422467899153,0.47556567192077637
VGG19,Gradient Boosting,0.4695,0.4690337085227028,266.027713060379
VGG16,Linear SVM,0.467,0.46507696935493215,192.68509888648987
VGG19,Linear SVM,0.464,0.4617507107522435,158.00555086135864
VGG16,Logistic Regression,0.4575,0.45731165755018893,0.892432689666748
ResNet50,Logistic Regression,0.457,0.45378293041521456,8.136512756347656
VGG19,Random Forest,0.453,0.45113195162161135,0.5063948631286621
ResNet50,Linear SVM,0.45,0.4430301911364637,230.32516741752625
VGG19,Logistic Regression,0.4445,0.44403634941847,0.6766047477722168
ResNet50,SVM (RBF),0.4145,0.41198743325665954,21.50921893119812
ResNet50,MLP,0.409,0.4107683090058335,34.117802143096924
InceptionV3,Linear SVM,0.4075,0.40848777017303367,802.6965074539185
ResNet50,Gradient Boosting,0.396,0.3945921719695914,426.1178460121155
VGG16,K-Nearest Neighbors,0.3875,0.3877120859849931,0.002001047134399414
VGG19,K-Nearest Neighbors,0.3855,0.38547771077146353,0.003998994827270508
InceptionV3,K-Nearest Neighbors,0.3505,0.35264234507555253,0.011001110076904297
ResNet50,Random Forest,0.35,0.3465541063032724,0.6344645023345947
MobileNetV2,Random Forest,0.306,0.3030771590550425,0.30538511276245117
InceptionV3,Naive Bayes,0.2985,0.27046150366984734,0.06801629066467285
VGG19,Naive Bayes,0.2935,0.2629560230952773,0.015997886657714844
MobileNetV2,Linear SVM,0.2895,0.28070421996968126,167.4209017753601
ResNet50,K-Nearest Neighbors,0.2835,0.2831300621039142,0.0110015869140625
MobileNetV2,Logistic Regression,0.283,0.2773876791962807,1.2075538635253906
MobileNetV2,Gradient Boosting,0.2805,0.27675582326267795,35.563716650009155
MobileNetV2,SVM (RBF),0.28,0.27637296988488225,7.739712715148926
VGG16,Naive Bayes,0.2645,0.22949346035707252,0.012006044387817383
MobileNetV2,MLP,0.252,0.2491855291127314,10.50978708267212
MobileNetV2,K-Nearest Neighbors,0.213,0.20808553660682524,0.005999565124511719
MobileNetV2,Naive Bayes,0.1655,0.11796379843533099,0.03200125694274902
ResNet50,Naive Bayes,0.1445,0.09567180191163213,0.0805208683013916
